,ghi_w_m2,ghi_clear_w_m2,temp_c,humidity_pct,wind_speed_ms
2019-01-01 00:00:00,0.0,0.0,20.73,55.38,2.75
2019-01-01 01:00:00,0.0,0.0,20.02,56.28,3.27
2019-01-01 02:00:00,0.0,0.0,19.19,56.88,3.51
2019-01-01 03:00:00,0.0,0.0,18.54,55.83,3.37
2019-01-01 04:00:00,0.0,0.0,18.01,54.43,3.22
2019-01-01 05:00:00,0.0,0.0,17.52,54.26,3.12
2019-01-01 06:00:00,13.27,13.3,17.32,53.95,3.34
2019-01-01 07:00:00,154.38,154.68,18.9,48.3,3.92
2019-01-01 08:00:00,327.98,328.45,22.32,39.6,3.86
2019-01-01 09:00:00,480.62,481.05,26.98,26.35,5.81
2019-01-01 10:00:00,630.72,630.9,30.6,21.1,6.37
2019-01-01 11:00:00,716.88,716.9,32.97,20.2,6.05
2019-01-01 12:00:00,843.15,843.17,34.52,19.96,5.62
2019-01-01 13:00:00,771.62,771.65,35.12,20.1,5.32
2019-01-01 14:00:00,626.35,626.38,34.99,20.69,5.14
2019-01-01 15:00:00,428.08,428.48,34.28,22.02,4.92
2019-01-01 16:00:00,206.23,206.73,32.54,26.15,3.92
2019-01-01 17:00:00,32.67,32.78,28.27,39.35,2.21
2019-01-01 18:00:00,0.0,0.0,25.96,45.38,2.29
2019-01-01 19:00:00,0.0,0.0,25.0,48.04,2.29
2019-01-01 20:00:00,0.0,0.0,24.04,51.37,2.05
2019-01-01 21:00:00,0.0,0.0,23.16,54.78,1.84
2019-01-01 22:00:00,0.0,0.0,22.35,58.04,1.77
2019-01-01 23:00:00,0.0,0.0,21.6,61.29,1.82
2019-01-02 00:00:00,0.0,0.0,20.85,64.73,1.93
2019-01-02 01:00:00,0.0,0.0,20.14,68.13,2.15
2019-01-02 02:00:00,0.0,0.0,19.45,71.16,2.44
2019-01-02 03:00:00,0.0,0.0,18.79,72.99,2.67
2019-01-02 04:00:00,0.0,0.0,18.13,73.67,2.83
2019-01-02 05:00:00,0.0,0.0,17.46,73.39,2.84
2019-01-02 06:00:00,17.3,17.38,17.14,71.3,3.11
2019-01-02 07:00:00,187.12,188.9,18.76,61.94,3.51
2019-01-02 08:00:00,390.75,394.35,22.45,47.48,3.33
2019-01-02 09:00:00,597.7,600.95,26.98,32.2,4.47
2019-01-02 10:00:00,754.58,757.5,31.08,24.36,4.97
2019-01-02 11:00:00,837.85,840.97,33.66,21.34,4.56
2019-01-02 12:00:00,855.25,865.85,35.05,20.04,3.88
2019-01-02 13:00:00,792.0,792.45,35.64,19.35,3.34
2019-01-02 14:00:00,648.08,648.3,35.56,19.23,3.08
2019-01-02 15:00:00,448.3,449.08,34.82,20.07,3.21
2019-01-02 16:00:00,221.1,222.05,32.74,26.4,2.5
2019-01-02 17:00:00,36.22,36.42,28.32,40.12,1.82
2019-01-02 18:00:00,0.0,0.0,26.06,44.99,2.07
2019-01-02 19:00:00,0.0,0.0,24.92,47.92,2.26
2019-01-02 20:00:00,0.0,0.0,23.82,51.03,2.28
2019-01-02 21:00:00,0.0,0.0,22.84,53.86,2.23
2019-01-02 22:00:00,0.0,0.0,21.92,56.48,2.13
2019-01-02 23:00:00,0.0,0.0,21.05,59.24,2.02
2019-01-03 00:00:00,0.0,0.0,20.19,62.24,1.94
2019-01-03 01:00:00,0.0,0.0,19.38,65.41,1.9
2019-01-03 02:00:00,0.0,0.0,18.61,68.68,1.84
2019-01-03 03:00:00,0.0,0.0,17.85,72.27,1.69
2019-01-03 04:00:00,0.0,0.0,17.13,76.07,1.52
2019-01-03 05:00:00,0.0,0.0,16.5,79.4,1.38
2019-01-03 06:00:00,17.58,17.58,16.5,79.13,1.68
2019-01-03 07:00:00,188.93,189.02,18.49,68.8,2.56
2019-01-03 08:00:00,401.45,401.52,21.91,54.27,2.24
2019-01-03 09:00:00,608.72,608.78,26.25,37.68,3.2
2019-01-03 10:00:00,762.35,762.35,30.58,25.2,3.99
2019-01-03 11:00:00,792.3,820.7,33.14,20.41,3.43
2019-01-03 12:00:00,869.75,869.75,34.58,18.61,2.65
2019-01-03 13:00:00,798.53,798.53,35.23,17.71,2.19
2019-01-03 14:00:00,654.22,654.6,35.31,17.26,2.07
2019-01-03 15:00:00,452.85,453.42,34.79,17.5,2.11
2019-01-03 16:00:00,224.2,224.65,33.28,22.47,1.7
2019-01-03 17:00:00,36.35,36.42,28.67,40.51,1.13
2019-01-03 18:00:00,0.0,0.0,26.1,42.55,1.45
2019-01-03 19:00:00,0.0,0.0,24.97,44.03,1.75
2019-01-03 20:00:00,0.0,0.0,23.94,46.63,1.91
2019-01-03 21:00:00,0.0,0.0,22.89,50.37,1.82
2019-01-03 22:00:00,0.0,0.0,21.93,54.18,1.59
2019-01-03 23:00:00,0.0,0.0,21.15,57.2,1.41
2019-01-04 00:00:00,0.0,0.0,20.48,59.32,1.35
2019-01-04 01:00:00,0.0,0.0,19.82,61.16,1.43
2019-01-04 02:00:00,0.0,0.0,19.19,63.1,1.59
2019-01-04 03:00:00,0.0,0.0,18.59,65.39,1.75
2019-01-04 04:00:00,0.0,0.0,17.97,67.65,1.86
2019-01-04 05:00:00,0.0,0.0,17.36,69.0,1.95
2019-01-04 06:00:00,15.85,15.93,17.26,67.24,2.58
2019-01-04 07:00:00,179.27,180.02,19.09,57.39,3.67
2019-01-04 08:00:00,384.27,385.33,22.65,44.09,3.81
2019-01-04 09:00:00,593.72,594.45,27.21,28.22,5.34
2019-01-04 10:00:00,753.9,753.9,30.91,19.65,6.13
2019-01-04 11:00:00,843.97,843.97,32.95,17.08,5.81
2019-01-04 12:00:00,858.47,858.47,34.02,16.14,5.3
2019-01-04 13:00:00,787.78,787.78,34.47,15.81,4.81
2019-01-04 14:00:00,644.42,645.47,34.37,16.0,4.43
2019-01-04 15:00:00,443.8,445.62,33.67,16.79,4.11
2019-01-04 16:00:00,218.9,220.43,32.03,20.38,3.17
2019-01-04 17:00:00,35.67,35.92,27.57,35.25,1.67
2019-01-04 18:00:00,0.0,0.0,25.25,39.77,1.72
2019-01-04 19:00:00,0.0,0.0,24.38,40.83,1.79
2019-01-04 20:00:00,0.0,0.0,23.64,41.89,1.79
2019-01-04 21:00:00,0.0,0.0,22.91,43.77,1.72
2019-01-04 22:00:00,0.0,0.0,22.01,46.95,1.61
2019-01-04 23:00:00,0.0,0.0,21.08,49.83,1.69
2019-01-05 00:00:00,0.0,0.0,20.29,51.5,2.07
2019-01-05 01:00:00,0.0,0.0,19.46,53.48,2.47
2019-01-05 02:00:00,0.0,0.0,18.61,55.64,2.67
2019-01-05 03:00:00,0.0,0.0,17.96,56.81,2.88
2019-01-05 04:00:00,0.0,0.0,17.43,57.48,3.14
2019-01-05 05:00:00,0.0,0.0,16.85,58.75,3.18
2019-01-05 06:00:00,14.65,14.65,16.55,59.01,3.38
