,ghi_w_m2,ghi_clear_w_m2,temp_c,humidity_pct,wind_speed_ms
2024-01-01 00:00:00,0.0,0.0,22.04,47.8,1.3
2024-01-01 01:00:00,0.0,0.0,21.36,49.18,1.29
2024-01-01 02:00:00,0.0,0.0,20.23,52.97,1.28
2024-01-01 03:00:00,0.0,0.0,18.81,58.44,1.26
2024-01-01 04:00:00,0.0,0.0,17.6,62.61,1.28
2024-01-01 05:00:00,0.0,0.0,16.76,64.65,1.38
2024-01-01 06:00:00,16.48,16.5,16.55,65.56,1.45
2024-01-01 07:00:00,173.5,174.1,19.15,52.13,2.66
2024-01-01 08:00:00,357.58,358.45,21.44,46.59,2.31
2024-01-01 09:00:00,554.45,555.35,25.35,37.63,2.08
2024-01-01 10:00:00,706.3,707.0,28.94,29.48,2.3
2024-01-01 11:00:00,790.58,790.78,32.32,22.55,2.75
2024-01-01 12:00:00,777.6,781.92,34.13,20.62,2.9
2024-01-01 13:00:00,694.1,709.4,34.74,20.85,2.91
2024-01-01 14:00:00,549.15,567.55,34.73,21.76,2.87
2024-01-01 15:00:00,363.05,376.3,34.09,23.86,2.69
2024-01-01 16:00:00,166.95,171.8,32.45,31.83,1.78
2024-01-01 17:00:00,27.4,27.92,28.42,52.05,1.12
2024-01-01 18:00:00,0.0,0.0,26.48,53.89,1.21
2024-01-01 19:00:00,0.0,0.0,25.65,55.83,1.21
2024-01-01 20:00:00,0.0,0.0,25.0,57.42,1.22
2024-01-01 21:00:00,0.0,0.0,24.67,58.93,1.22
2024-01-01 22:00:00,0.0,0.0,24.04,60.72,1.22
2024-01-01 23:00:00,0.0,0.0,23.53,62.94,1.18
2024-01-02 00:00:00,0.0,0.0,23.36,64.99,1.1
2024-01-02 01:00:00,0.0,0.0,23.04,67.02,1.03
2024-01-02 02:00:00,0.0,0.0,22.55,69.07,0.99
2024-01-02 03:00:00,0.0,0.0,22.03,71.23,1.02
2024-01-02 04:00:00,0.0,0.0,21.53,72.91,1.17
2024-01-02 05:00:00,0.0,0.0,21.13,74.26,1.43
2024-01-02 06:00:00,12.43,14.4,20.98,74.87,1.84
2024-01-02 07:00:00,120.32,138.0,22.8,66.29,3.19
2024-01-02 08:00:00,262.83,328.67,25.49,56.74,2.98
2024-01-02 09:00:00,409.52,520.85,28.92,43.96,3.22
2024-01-02 10:00:00,530.28,669.95,32.51,32.63,3.66
2024-01-02 11:00:00,625.58,754.22,34.72,28.68,3.71
2024-01-02 12:00:00,764.67,784.03,35.65,28.13,3.5
2024-01-02 13:00:00,681.67,715.58,36.04,28.14,3.29
2024-01-02 14:00:00,537.75,577.6,35.93,28.57,3.14
2024-01-02 15:00:00,355.33,388.55,35.28,30.04,2.92
2024-01-02 16:00:00,167.07,181.73,33.77,36.32,2.11
2024-01-02 17:00:00,27.45,28.55,29.96,55.77,1.2
2024-01-02 18:00:00,0.0,0.0,27.84,59.67,1.32
2024-01-02 19:00:00,0.0,0.0,26.96,61.56,1.45
2024-01-02 20:00:00,0.0,0.0,26.18,63.89,1.52
2024-01-02 21:00:00,0.0,0.0,25.49,66.19,1.5
2024-01-02 22:00:00,0.0,0.0,24.85,68.24,1.43
2024-01-02 23:00:00,0.0,0.0,24.24,70.02,1.34
2024-01-03 00:00:00,0.0,0.0,23.55,71.81,1.32
2024-01-03 01:00:00,0.0,0.0,22.74,73.56,1.4
2024-01-03 02:00:00,0.0,0.0,21.94,74.45,1.72
2024-01-03 03:00:00,0.0,0.0,21.15,74.64,2.14
2024-01-03 04:00:00,0.0,0.0,20.26,75.17,2.32
2024-01-03 05:00:00,0.0,0.0,19.42,75.88,2.29
2024-01-03 06:00:00,14.9,14.9,19.1,75.17,2.57
2024-01-03 07:00:00,164.5,164.85,20.6,68.09,3.29
2024-01-03 08:00:00,335.65,336.12,23.54,58.96,2.86
2024-01-03 09:00:00,528.7,529.3,27.7,44.19,3.71
2024-01-03 10:00:00,681.4,681.95,31.21,33.78,4.23
2024-01-03 11:00:00,765.53,765.9,33.76,27.97,4.19
2024-01-03 12:00:00,832.12,832.33,34.98,26.23,3.75
2024-01-03 13:00:00,762.72,762.75,35.51,25.58,3.29
2024-01-03 14:00:00,617.53,621.67,35.45,25.75,2.91
2024-01-03 15:00:00,423.65,428.8,34.81,26.93,2.66
2024-01-03 16:00:00,203.07,206.35,33.36,32.79,1.89
2024-01-03 17:00:00,33.17,33.5,29.63,52.19,1.1
2024-01-03 18:00:00,0.0,0.0,27.45,55.75,1.16
2024-01-03 19:00:00,0.0,0.0,26.41,58.21,1.16
2024-01-03 20:00:00,0.0,0.0,25.57,60.3,1.14
2024-01-03 21:00:00,0.0,0.0,24.94,62.03,1.11
2024-01-03 22:00:00,0.0,0.0,24.42,63.43,1.05
