,ghi_w_m2,ghi_clear_w_m2,temp_c,humidity_pct,wind_speed_ms
2018-01-01 00:00:00,0.0,0.0,20.86,50.26,2.49
2018-01-01 01:00:00,0.0,0.0,20.16,54.33,2.68
2018-01-01 02:00:00,0.0,0.0,19.35,58.65,2.85
2018-01-01 03:00:00,0.0,0.0,18.48,62.95,2.95
2018-01-01 04:00:00,0.0,0.0,17.63,66.73,2.97
2018-01-01 05:00:00,0.0,0.0,16.83,69.72,2.98
2018-01-01 06:00:00,16.7,16.73,16.4,70.17,3.17
2018-01-01 07:00:00,174.57,175.02,17.87,61.88,3.34
2018-01-01 08:00:00,357.77,358.15,21.78,44.27,3.7
2018-01-01 09:00:00,555.38,555.58,26.18,29.45,4.96
2018-01-01 10:00:00,714.67,714.67,30.19,20.01,5.57
2018-01-01 11:00:00,797.83,798.0,32.92,16.33,5.23
2018-01-01 12:00:00,830.08,830.45,34.61,14.85,4.76
2018-01-01 13:00:00,745.95,746.55,35.38,14.19,4.46
2018-01-01 14:00:00,593.08,594.15,35.39,14.08,4.36
2018-01-01 15:00:00,390.12,391.48,34.69,14.64,4.31
2018-01-01 16:00:00,205.32,206.4,33.06,16.91,3.86
2018-01-01 17:00:00,29.58,29.73,28.94,25.25,2.65
2018-01-01 18:00:00,0.0,0.0,26.63,30.41,3.36
2018-01-01 19:00:00,0.0,0.0,25.36,34.57,3.74
2018-01-01 20:00:00,0.0,0.0,24.25,38.38,3.48
2018-01-01 21:00:00,0.0,0.0,23.36,41.32,3.24
2018-01-01 22:00:00,0.0,0.0,22.56,44.24,3.17
2018-01-01 23:00:00,0.0,0.0,21.68,48.37,3.07
2018-01-02 00:00:00,0.0,0.0,20.84,53.23,3.16
2018-01-02 01:00:00,0.0,0.0,19.99,58.04,3.23
2018-01-02 02:00:00,0.0,0.0,19.23,61.9,3.22
2018-01-02 03:00:00,0.0,0.0,18.6,65.05,3.2
2018-01-02 04:00:00,0.0,0.0,18.13,67.23,3.14
2018-01-02 05:00:00,0.0,0.0,17.79,68.4,3.07
2018-01-02 06:00:00,12.7,12.7,17.65,68.11,3.14
2018-01-02 07:00:00,130.38,130.48,18.51,62.85,3.29
2018-01-02 08:00:00,288.5,288.95,20.87,50.9,3.4
2018-01-02 09:00:00,441.17,442.33,24.5,33.72,4.37
2018-01-02 10:00:00,592.55,594.2,28.19,22.04,5.13
2018-01-02 11:00:00,631.53,640.2,31.01,15.9,5.37
2018-01-02 12:00:00,539.62,552.62,32.61,14.31,4.97
2018-01-02 13:00:00,488.33,489.4,33.37,14.03,4.48
2018-01-02 14:00:00,421.08,421.2,33.37,14.42,4.13
2018-01-02 15:00:00,230.27,232.15,32.19,16.04,3.81
2018-01-02 16:00:00,102.82,103.35,30.21,20.31,3.18
2018-01-02 17:00:00,19.52,19.58,27.68,25.83,3.32
2018-01-02 18:00:00,0.0,0.0,25.88,30.69,3.95
2018-01-02 19:00:00,0.0,0.0,24.67,34.85,4.01
2018-01-02 20:00:00,0.0,0.0,23.87,37.44,3.78
2018-01-02 21:00:00,0.0,0.0,23.22,39.28,3.61
2018-01-02 22:00:00,0.0,0.0,22.56,41.16,3.57
2018-01-02 23:00:00,0.0,0.0,21.86,43.79,3.54
2018-01-03 00:00:00,0.0,0.0,21.14,46.89,3.5
2018-01-03 01:00:00,0.0,0.0,20.41,50.08,3.46
2018-01-03 02:00:00,0.0,0.0,19.74,53.02,3.42
2018-01-03 03:00:00,0.0,0.0,19.16,55.33,3.42
2018-01-03 04:00:00,0.0,0.0,18.63,57.22,3.5
2018-01-03 05:00:00,0.0,0.0,18.13,58.84,3.57
2018-01-03 06:00:00,9.73,9.75,17.79,59.6,3.76
2018-01-03 07:00:00,106.9,107.53,18.64,55.43,4.1
2018-01-03 08:00:00,197.62,198.95,21.13,44.93,3.94
2018-01-03 09:00:00,336.95,340.38,24.46,33.04,4.31
2018-01-03 10:00:00,439.88,466.23,27.41,25.17,4.65
2018-01-03 11:00:00,491.33,546.33,30.09,19.57,4.73
2018-01-03 12:00:00,530.25,603.78,31.92,17.28,4.54
2018-01-03 13:00:00,449.2,538.5,32.82,16.6,4.24
2018-01-03 14:00:00,350.05,416.92,32.98,16.69,4.0
2018-01-03 15:00:00,226.1,263.48,32.47,17.43,3.7
2018-01-03 16:00:00,116.97,126.7,30.88,20.9,2.7
2018-01-03 17:00:00,20.95,22.25,27.11,30.11,1.97
2018-01-03 18:00:00,0.0,0.0,25.2,33.55,2.54
2018-01-03 19:00:00,0.0,0.0,24.24,36.09,2.98
2018-01-03 20:00:00,0.0,0.0,23.24,39.08,2.75
2018-01-03 21:00:00,0.0,0.0,22.41,41.39,2.42
2018-01-03 22:00:00,0.0,0.0,21.7,43.53,2.18
2018-01-03 23:00:00,0.0,0.0,21.0,45.94,1.98
2018-01-04 00:00:00,0.0,0.0,20.3,48.89,1.88
2018-01-04 01:00:00,0.0,0.0,19.62,52.29,1.9
2018-01-04 02:00:00,0.0,0.0,18.97,55.52,1.98
2018-01-04 03:00:00,0.0,0.0,18.36,58.35,2.12
2018-01-04 04:00:00,0.0,0.0,17.83,60.72,2.37
2018-01-04 05:00:00,0.0,0.0,17.27,63.4,2.71
2018-01-04 06:00:00,12.5,12.55,16.87,65.31,3.2
2018-01-04 07:00:00,148.98,149.38,18.01,60.34,3.62
2018-01-04 08:00:00,324.12,324.62,21.18,46.67,3.61
2018-01-04 09:00:00,484.3,484.67,25.99,24.85,5.61
2018-01-04 10:00:00,644.05,644.08,29.7,15.73,6.18
2018-01-04 11:00:00,727.72,727.78,32.1,13.45,5.55
2018-01-04 12:00:00,750.97,751.03,33.33,13.0,4.99
2018-01-04 13:00:00,687.5,687.55,33.89,13.04,4.69
2018-01-04 14:00:00,548.45,548.6,33.77,13.54,4.62
2018-01-04 15:00:00,401.48,401.73,33.16,14.51,4.64
2018-01-04 16:00:00,197.98,198.18,31.49,17.18,4.15
2018-01-04 17:00:00,31.08,31.1,27.61,25.02,2.75
2018-01-04 18:00:00,0.0,0.0,25.23,30.19,2.96
2018-01-04 19:00:00,0.0,0.0,24.07,33.49,2.83
2018-01-04 20:00:00,0.0,0.0,22.94,37.07,2.29
2018-01-04 21:00:00,0.0,0.0,22.06,40.25,1.98
2018-01-04 22:00:00,0.0,0.0,21.32,43.23,2.01
2018-01-04 23:00:00,0.0,0.0,20.57,46.64,2.28
2018-01-05 00:00:00,0.0,0.0,19.68,50.58,2.69
2018-01-05 01:00:00,0.0,0.0,18.54,55.1,2.97
2018-01-05 02:00:00,0.0,0.0,17.3,59.31,2.97
2018-01-05 03:00:00,0.0,0.0,16.23,62.2,2.85
2018-01-05 04:00:00,0.0,0.0,15.35,63.55,2.8
2018-01-05 05:00:00,0.0,0.0,14.61,64.01,2.86
2018-01-05 06:00:00,15.8,15.82,14.19,62.97,3.15
2018-01-05 07:00:00,175.73,176.05,15.59,55.42,3.31
2018-01-05 08:00:00,375.52,376.12,19.31,41.7,3.13
2018-01-05 09:00:00,586.15,586.58,24.38,24.43,4.3
2018-01-05 10:00:00,752.22,753.5,29.05,14.31,4.9
2018-01-05 11:00:00,843.5,845.3,32.1,10.78,4.25
2018-01-05 12:00:00,853.12,855.25,33.62,10.64,3.28
2018-01-05 13:00:00,782.28,783.97,34.15,11.15,2.73
2018-01-05 14:00:00,637.95,638.33,34.01,11.88,2.6
2018-01-05 15:00:00,433.98,435.88,33.35,12.88,2.67
2018-01-05 16:00:00,208.45,209.77,31.82,16.2,2.16
2018-01-05 17:00:00,35.3,35.28,27.85,25.86,1.56
2018-01-05 18:00:00,0.0,0.0,25.71,28.15,1.99
2018-01-05 19:00:00,0.0,0.0,24.59,30.28,2.29
2018-01-05 20:00:00,0.0,0.0,23.44,33.29,2.27
